iter	TotalF1:average=Macro	MultiClass
0	0.7924369667	1.06832132
1	0.7907202528	1.042502956
2	0.8013794032	1.018356445
3	0.7962942328	0.9955330916
4	0.7842911208	0.9774319903
5	0.7962470724	0.9538099398
6	0.7953360252	0.9355151569
7	0.7969236195	0.91625938
8	0.8034859456	0.8965921021
9	0.8012614383	0.8796943006
10	0.7981075765	0.8673802061
11	0.7981071898	0.8513045822
12	0.8071523052	0.8351781502
13	0.8106612692	0.8195189191
14	0.8104880585	0.8064750847
15	0.8129647042	0.7922011774
16	0.8126410471	0.7788152401
17	0.8117481061	0.769108875
18	0.8119199626	0.7566835488
19	0.8122897366	0.7468366408
20	0.8117102362	0.7371799522
21	0.8124507063	0.7270965816
22	0.8145534733	0.7177162299
23	0.814784168	0.7075177704
24	0.8146389205	0.6978038049
25	0.815467708	0.6881692808
26	0.8169408161	0.6796131678
27	0.8192529074	0.6707005379
28	0.8205329875	0.6619629564
29	0.8191887041	0.6552504291
30	0.821447799	0.6473846405
31	0.8222729291	0.6403165255
32	0.8233133073	0.6327898344
33	0.8233604985	0.6259967311
34	0.8234891867	0.6190008031
35	0.82378503	0.6121749238
36	0.8234412469	0.6054678332
37	0.8236831032	0.5992551357
38	0.8240271353	0.5941361145
39	0.8257912153	0.58816714
40	0.8256316695	0.5845404736
41	0.824578709	0.5785530735
42	0.8250700611	0.5735446035
43	0.8257935269	0.5679842854
44	0.8280668455	0.5631828508
45	0.8285093389	0.5586663478
46	0.8288581706	0.5542609271
47	0.8283050819	0.5490763617
48	0.830341503	0.5444564936
49	0.8296044247	0.5403026851
50	0.8289833879	0.5359152079
51	0.8296249195	0.5322582078
52	0.8298168944	0.5285692267
53	0.8307617798	0.5243571555
54	0.8310221559	0.5205730488
55	0.8311339825	0.5171784962
56	0.8325365025	0.5160072682
57	0.8315583604	0.5128965882
58	0.8333720725	0.5093743675
59	0.8339488016	0.5056014688
60	0.8335604615	0.5018610757
61	0.8345793971	0.4994224075
62	0.834423325	0.4968323476
63	0.8355547132	0.4938547809
64	0.8358593695	0.4915965071
65	0.8376250451	0.4885747281
66	0.8382866596	0.4856317272
67	0.8369345535	0.4841219379
68	0.8372724788	0.4820624047
69	0.8374520307	0.4799243184
70	0.8389172128	0.4774644825
71	0.8406786051	0.4751060974
72	0.8409559639	0.4731331666
73	0.8415102034	0.4709680576
74	0.8413889463	0.4691114835
75	0.8412559424	0.467242161
76	0.841432111	0.4652463295
77	0.8417693665	0.4629567666
78	0.8425277924	0.4617831728
79	0.841917315	0.460984458
80	0.8427561516	0.4586435525
81	0.8431833731	0.4569729524
82	0.8438387399	0.4550827044
83	0.8433331732	0.453496684
84	0.8432395857	0.4515823524
85	0.8433484519	0.4500845634
86	0.8450642248	0.4482566053
87	0.8454143353	0.4462021144
88	0.8454349573	0.4442362044
89	0.8455680313	0.4428844316
90	0.8454268009	0.4413147452
91	0.8452902803	0.4395499916
92	0.8457829067	0.4382567578
93	0.8460356027	0.4373478625
94	0.8457209685	0.4362072466
95	0.8457209685	0.4349111193
96	0.8460824826	0.4333683636
97	0.8461630174	0.4318635942
98	0.847242135	0.4304174283
99	0.8479838415	0.4292037814
100	0.8483737253	0.4278770599
101	0.8479070508	0.4269835561
102	0.8484300355	0.4257459617
103	0.8482610994	0.4244036721
104	0.848566814	0.4231187983
105	0.8493685043	0.4216905687
106	0.8488365444	0.4206909415
107	0.8496420953	0.4196902494
108	0.8497788804	0.4182494023
109	0.8486998029	0.4180341889
110	0.8489694945	0.4175275474
111	0.8486960646	0.4172919423
112	0.8493722781	0.4159605334
113	0.849098613	0.4147989653
114	0.8497104524	0.413476963
115	0.8500608935	0.4123669279
116	0.8504511406	0.411166158
117	0.8507773987	0.4100003795
118	0.8508376657	0.4089769105
119	0.8511640172	0.4079569284
120	0.8510196335	0.4075084596
121	0.8511564237	0.4072991878
122	0.8510999892	0.4071486266
123	0.8511927591	0.4062156933
124	0.8523247132	0.4054793488
125	0.8526548633	0.4046040588
126	0.8522971973	0.4035899885
127	0.8516080086	0.4025811851
128	0.8520510215	0.4012951593
129	0.852406172	0.4003736595
130	0.852406172	0.3993646463
131	0.8535948529	0.3983790653
132	0.8539251013	0.3977944831
133	0.8542627365	0.39677746
134	0.8550036133	0.3954563255
135	0.8545968479	0.3945801227
136	0.8555194782	0.3936055084
137	0.8554957972	0.3927867906
138	0.8559627227	0.3918914053
139	0.8559627227	0.3918196159
140	0.8561757993	0.3908610805
141	0.8561757993	0.3900745207
142	0.8561797068	0.3890884244
143	0.8564492695	0.3879831765
144	0.8561428241	0.3874719097
145	0.8562795489	0.3873105545
146	0.856492435	0.3870004312
147	0.856199397	0.3863036352
148	0.8563187538	0.3855422473
149	0.8560199223	0.3849161882
150	0.8562969953	0.3838431588
151	0.8561077203	0.3830401135
152	0.8561973317	0.3822707267
153	0.856310482	0.3813652249
154	0.8569457589	0.3805364762
155	0.8571391565	0.3796710909
156	0.8572718923	0.3787654572
157	0.8577387046	0.3778441409
158	0.8587747141	0.3770984624
159	0.858718026	0.3767115385
160	0.8592334728	0.3760315222
161	0.858983349	0.3754664142
162	0.8589033062	0.3747741101
163	0.8588273033	0.3745867768
164	0.8590207625	0.3739826925
165	0.8592101217	0.3735719521
166	0.8599779836	0.37254408
167	0.8601906203	0.3717134224
168	0.8604935406	0.3710859403
169	0.8605694152	0.3706793981
170	0.860691079	0.3697950855
171	0.8611537804	0.3691626336
172	0.8610970148	0.369009797
173	0.8614188249	0.3684796169
174	0.8615513345	0.3679084749
175	0.8625165093	0.3674852092
176	0.8624029348	0.3673052209
177	0.8621904937	0.3666698491
178	0.8624406765	0.3658018082
179	0.8629072943	0.3650301217
180	0.8631196049	0.3644189472
181	0.8636595647	0.3639367688
182	0.8635986203	0.3630234853
183	0.8637352608	0.3621142841
184	0.8637352608	0.3614858881
185	0.8639434559	0.3614818011
186	0.8640612436	0.3609505631
187	0.8642881126	0.3604373309
188	0.8642881126	0.3603283873
189	0.8647048946	0.359855886
190	0.8651102698	0.3591343597
191	0.8651022754	0.3582972542
192	0.8660610669	0.357823262
193	0.8654853701	0.3572915577
194	0.8658109132	0.3567827286
195	0.8658192845	0.3562962012
196	0.8661490193	0.3558529505
197	0.8664701838	0.3553213644
198	0.8667203287	0.35473983
199	0.8667160988	0.354207303
200	0.8675444096	0.3536636875
201	0.867680778	0.3533272372
202	0.8679310493	0.3528922371
203	0.8681243642	0.3522364359
204	0.8681243642	0.3521489136
205	0.8681856489	0.3514780474
206	0.8677281817	0.3507284453
207	0.8684540295	0.3499442171
208	0.8683833827	0.3493052479
209	0.8685242535	0.3487417252
210	0.8686037214	0.3484470875
211	0.8681989158	0.3480009959
212	0.869258675	0.3473481018
213	0.8689289595	0.3468344308
214	0.8687311458	0.3462431656
215	0.8688675058	0.3458876471
216	0.8688675058	0.3458810601
217	0.8691357112	0.3458115568
218	0.8696345219	0.3453315379
219	0.8696345219	0.3452901175
220	0.8705933941	0.3448682541
221	0.8706727021	0.34454535
222	0.8700390727	0.3440509369
223	0.8709409984	0.3436118882
224	0.871552555	0.3432651523
225	0.87134989	0.342729538
226	0.87134989	0.3422910619
227	0.8726257073	0.3416103005
228	0.8727005462	0.3412848599
229	0.8726477364	0.3409820081
230	0.8727620611	0.3405687628
231	0.8740871838	0.339796681
232	0.8736092434	0.339229009
233	0.8736884187	0.339160172
234	0.8736884187	0.3391235356
235	0.8736884187	0.3385101021
236	0.8740930808	0.3380823201
237	0.8742074464	0.3377052842
238	0.8746163514	0.3371607377
239	0.8746691647	0.3369156683
240	0.8745936457	0.3368562023
241	0.8747432146	0.3363738602
242	0.874721205	0.3358977536
243	0.8753317441	0.3358971197
244	0.8744660706	0.3355745147
245	0.8757628531	0.334780651
246	0.8762985249	0.3343451881
247	0.8765714225	0.3340425702
248	0.8762985249	0.3339430442
249	0.8760828878	0.3332781587
250	0.8768432133	0.3326830127
251	0.8776044623	0.3316767694
252	0.8776688342	0.3310453496
253	0.8781959345	0.3306623425
254	0.8786536792	0.329948413
255	0.8790652065	0.3295234909
256	0.8792374464	0.3292223481
257	0.8794590589	0.3288308317
258	0.8795380266	0.328242172
259	0.8797521748	0.3277017984
260	0.8794975479	0.3273503017
261	0.879880472	0.3263310513
262	0.8795595649	0.3258367311
263	0.87959544	0.3252785283
264	0.8797318155	0.3248609605
265	0.8800619677	0.3243052152
266	0.8800619677	0.3240953458
267	0.8816129718	0.3237084308
268	0.8816129718	0.3237009715
269	0.8817494057	0.3231787065
270	0.881943368	0.3223441077
271	0.881943368	0.3218515557
272	0.8811965596	0.3214251923
273	0.881943368	0.3208832998
274	0.8829005135	0.320280254
275	0.8830945355	0.3197037638
276	0.8828264141	0.3192442247
277	0.8829415975	0.3187187752
278	0.8832885544	0.3183447884
279	0.8843608542	0.3178226006
280	0.8845549333	0.3172502492
281	0.8855533789	0.3168165203
282	0.8858165768	0.3163395597
283	0.8873143259	0.3157961296
284	0.8871809492	0.315558278
285	0.8864346725	0.315179697
286	0.8873174409	0.3146323731
287	0.8859610428	0.3140768573
288	0.8859610428	0.3136798569
289	0.8859610428	0.313274442
290	0.8859610428	0.3130543283
291	0.885824623	0.3126528479
292	0.8859033207	0.312237295
293	0.8869259003	0.3116163859
294	0.8870045608	0.3112335926
295	0.8873930013	0.3108612091
296	0.8872806802	0.3104712193
297	0.8873384628	0.3099993828
