iter	Passed	Remaining
0	566	1131762
1	1033	1032726
2	1524	1014925
3	2045	1020858
4	2528	1008798
5	3123	1037989
6	3682	1048329
7	4304	1071783
8	4883	1080265
9	5537	1102005
10	5831	1054455
11	6382	1057365
12	6893	1053645
13	7522	1067055
14	8238	1090200
15	8809	1092383
16	9487	1106643
17	9728	1071265
18	10391	1083494
19	10811	1070312
20	11444	1078530
21	12032	1081851
22	12709	1092490
23	13319	1096620
24	13889	1097291
25	14517	1102193
26	15064	1100850
27	15690	1105057
28	16617	1129450
29	17323	1137588
30	17999	1143250
31	18612	1144670
32	19367	1154412
33	20051	1159452
34	20616	1157457
35	21355	1165045
36	22150	1175193
37	23037	1189481
38	23481	1180691
39	24242	1187895
40	24452	1168337
41	25197	1174675
42	25790	1173774
43	26453	1175960
44	27372	1189166
45	28434	1207841
46	29140	1210887
47	29932	1217236
48	30647	1220264
49	31348	1222597
50	32063	1225325
51	32822	1229573
52	33719	1238725
53	34597	1246785
54	35253	1246683
55	35978	1248957
56	36126	1231458
57	36933	1236643
58	37575	1236180
59	38338	1239625
60	38965	1238607
61	39598	1237784
62	40518	1245776
63	41325	1250090
64	42132	1254253
65	42979	1259428
66	43750	1262247
67	44532	1265254
68	45336	1268778
69	46312	1276901
70	46897	1274157
71	47619	1275131
72	48357	1276501
73	49038	1276314
74	49782	1277746
75	50556	1279889
76	51372	1282968
77	52237	1287196
78	53085	1290861
79	53272	1278546
80	54007	1279515
81	54780	1281332
82	55483	1281456
83	56286	1283857
84	57036	1284993
85	58024	1291386
86	58771	1292304
87	59587	1294672
88	60207	1292771
89	60844	1291249
90	61643	1293151
91	62277	1291578
92	63141	1294743
93	63850	1294662
94	64628	1295969
95	65402	1297145
96	66064	1296087
97	66756	1295624
98	67474	1295643
99	68250	1296757
100	69163	1300410
101	69924	1301140
102	70694	1302005
103	71451	1302622
104	72230	1303586
105	73114	1306401
106	73761	1304956
107	74709	1308793
108	75562	1310908
109	75657	1299927
110	76016	1293656
111	76098	1282809
112	76831	1283019
113	77532	1282685
114	78280	1283124
115	78968	1282552
116	79695	1282614
117	80670	1286632
118	81669	1290925
119	82484	1292257
120	83106	1290557
121	83339	1282889
122	83503	1274272
123	84126	1272745
124	84907	1273606
125	85561	1272551
126	86485	1275495
127	87363	1277694
128	88153	1278561
129	88986	1280038
130	89767	1280723
131	90693	1283445
132	91040	1277993
133	91902	1279777
134	92720	1280921
135	93540	1282057
136	94210	1281125
137	94951	1281153
138	95684	1281077
139	95775	1272446
140	96528	1272667
141	97521	1276018
142	98263	1276047
143	98901	1274730
144	99615	1274391
145	99710	1266190
146	100018	1260778
147	100812	1261524
148	101611	1262301
149	102356	1262394
150	103386	1265970
151	104131	1266015
152	104816	1265337
153	105551	1265251
154	106297	1265279
155	106995	1264747
156	107709	1264388
157	108588	1265950
158	109347	1266089
159	110092	1266065
160	110784	1265424
161	111479	1264809
162	112205	1264549
163	112443	1258823
164	113314	1260197
165	114238	1262127
166	115152	1263924
167	115908	1263957
168	116556	1262808
169	117106	1260612
170	117815	1260141
171	118595	1260423
172	118896	1255625
173	119738	1256564
174	120594	1257633
175	121370	1257841
176	121765	1254115
177	122518	1254096
178	123444	1255820
179	124439	1258223
180	125368	1259919
181	126264	1261256
182	126941	1260396
183	127750	1260846
184	128546	1261142
185	128644	1254630
186	129534	1255856
187	130299	1255869
188	130460	1250072
189	131448	1252215
190	132215	1252241
191	133065	1253029
192	133771	1252460
193	134419	1251346
194	135212	1251581
195	136067	1252378
196	136942	1253340
197	137868	1254743
198	138553	1253943
199	139250	1253251
200	140049	1253479
201	140757	1252883
202	141501	1252600
203	142279	1252621
204	142497	1247722
205	143481	1249542
206	144170	1248781
207	144818	1247669
208	145524	1247054
209	146294	1246988
210	146938	1245842
211	147842	1246902
212	148810	1248468
213	149482	1247554
214	150305	1247885
215	151168	1248543
216	151338	1243485
217	151591	1239157
218	152389	1239295
219	152574	1234463
220	153350	1234433
221	154131	1234440
222	154930	1234577
223	155578	1233512
224	156287	1232933
225	157069	1232923
226	157858	1232961
227	158569	1232394
228	159231	1231437
229	160127	1232287
230	160898	1232160
231	161693	1232212
232	162356	1231262
233	162558	1226830
234	162883	1223355
235	163622	1223009
236	164406	1222989
237	165229	1223254
238	166103	1223883
239	166721	1222623
240	166896	1218136
241	167612	1217617
242	168343	1217198
243	168396	1211899
244	169248	1212372
245	170104	1212861
246	170835	1212450
247	172006	1215143
248	172268	1211417
249	173068	1211481
250	173834	1211300
251	174501	1210428
252	175317	1210594
253	176084	1210408
254	176960	1210961
255	177729	1210783
256	178499	1210603
257	179199	1209941
258	179989	1209890
259	180680	1209167
260	181548	1209624
261	182420	1210105
262	183443	1211567
263	184168	1211044
264	184917	1210685
265	185621	1210028
266	186061	1207656
267	186825	1207395
268	186938	1202939
269	187657	1202397
270	188602	1203299
271	189401	1203257
272	190126	1202739
273	190709	1201329
274	191498	1201217
275	192129	1200111
276	192909	1199941
277	193677	1199686
278	194586	1200295
279	195327	1199871
280	196119	1199751
281	196826	1199108
282	197500	1198263
283	198297	1198163
284	198979	1197368
285	199775	1197253
286	200582	1197206
287	201321	1196747
288	202167	1196917
289	202902	1196426
290	203645	1195980
291	204409	1195655
292	205194	1195450
293	206234	1196722
294	207018	1196498
295	207835	1196460
296	208621	1196238
297	209236	1195033
